x, y
0.02126, 9480.37469
0.02242, 9359.06062
0.02396, 9504.057
0.02517, 9229.30272
0.02655, 9485.32225
0.02808, 9564.21928
0.02999, 9430.30543
0.03207, 9272.37944
0.03358, 9322.44871
0.03579, 9065.1758
0.03856, 8923.54377
0.04034, 8692.45992
0.04292, 8368.6259
0.04537, 8144.46863
0.04797, 7833.63019
0.05129, 7444.02665
0.05401, 6904.28129
0.05709, 6491.32529
0.05998, 5967.67597
0.06382, 5128.30662
0.06817, 4208.91879
0.07205, 3498.84557
0.07691, 2887.78943
0.08193, 2342.23893
0.08625, 2295.46804
0.09178, 2356.6858
0.0979, 2504.98054
0.10418, 2847.08754
0.11097, 2865.75632
0.11725, 3351.67227
0.13347, 3967.34613
0.14221, 4753.01801
0.1535, 5413.68164
0.16249, 6058.38116
0.17397, 6556.76496
0.18618, 7038.72287
0.19982, 7510.78567
0.2126, 7807.50709
0.22816, 7918.79412
0.24695, 8169.07448
0.26283, 8460.78237
0.2826, 8710.79887
0.30621, 8989.24731
0.32939, 9213.40458
