x,error,mean
0.0212,9327.59417,9480.37469
0.02262,9216.04327,9359.06062
0.02391,9434.85718,9504.057
0.02523,8799.98681,9229.30272
0.02686,9303.31816,9485.32225
0.02828,9163.73112,9564.21928
0.02982,9006.53077,9430.30543
0.03186,8469.62201,9272.37944
0.03347,8737.91147,9322.44871
0.03569,8416.51824,9065.1758
0.0377,8323.17435,8923.54377
0.04007,7923.54377,8692.45992
0.04236,7462.29962,8368.6259
0.04507,7138.2677,8144.46863
0.0477,6683.88416,7833.63019
0.05075,6136.22271,7444.02665
0.05345,5337.02751,6904.28129
0.0568,5023.2865,6491.32529
0.05999,4284.18761,5967.67597
0.06412,3101.06208,5128.30662
0.06802,2000.3958,4208.91879
0.07294,1602.08457,3498.84557
0.07701,878.22416,2887.78943
0.08129,-24.73778,2342.23893
0.08583,157.26631,2295.46804
0.09127,295.3361,2356.6858
0.09786,652.61561,2504.98054
0.10393,1065.30774,2847.08754
0.1106,1434.98912,2865.75632
0.11779,1996.50373,3351.67227
0.13405,2860.34699,3967.34613
0.14278,3567.58361,4753.01801
0.15394,4431.75671,5413.68164
0.16357,5130.48354,6058.38116
0.17481,5819.97493,6556.76496
0.1874,6383.7984,7038.72287
0.20203,6911.9335,7510.78567
0.21383,7380.30213,7807.50709
0.22899,7430.70123,7918.79412
0.24757,7726.30121,8169.07448
0.26354,8057.98536,8460.78237
0.28471,8353.12356,8710.79887
0.30815,8701.95923,8989.24731
0.3299,9017.01959,9213.40458
